-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,
Location: Latitude  17.2576   Longitude -97.6823 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2173.34 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
T2M                    MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) ,,,,,,,
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,T2M,RH2M,WS10M,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT
2021,1,1,12.53,46.31,2.72,102.51,96.54
2021,1,2,13.45,66.31,3.02,101.77,101.66
2021,1,3,14.76,76.06,2.03,102.89,99
2021,1,4,15.08,74.56,1.35,99.77,88.79
2021,1,5,14.01,78.38,3.28,97.28,76.94
2021,1,6,14.35,80.62,2.23,99.98,82.79
2021,1,7,13.21,81.62,2.98,93.1,74.77
2021,1,8,12.79,75.38,2.3,98.48,73.66
2021,1,9,12.19,79.69,2.52,99.94,60.02
2021,1,10,13.43,79.06,2.43,100.98,71.95
2021,1,11,12.59,79.06,3.03,99.7,63.49
2021,1,12,13.04,67.25,2.8,102.96,92.72
2021,1,13,13.18,70.31,2.98,102.78,86.83
2021,1,14,14.65,66.38,1.77,100.22,77.66
2021,1,15,14.67,70.56,2.35,101.72,73.52
2021,1,16,12.65,76.69,3.19,104.8,76.98
2021,1,17,14.01,79.69,2.4,98.88,65.47
2021,1,18,14.07,74.62,2.73,104.7,87.2
2021,1,19,14.61,69.38,2.98,101.71,91.09
2021,1,20,14.19,82.94,5.26,104.38,70.83
2021,1,21,15.11,67.06,2.75,106.09,105.92
2021,1,22,16.41,59.44,1.72,105.94,104.77
2021,1,23,16.05,66.12,1.77,102.44,82.05
2021,1,24,15.26,68.88,1.94,104.86,73.13
2021,1,25,14.88,65.06,2.81,109.26,107.73
2021,1,26,16.51,56.56,1.42,110.21,109.66
2021,1,27,16.47,63.56,4.21,103.7,101.71
2021,1,28,11.84,83.38,8.45,112.27,71.45
2021,1,29,11.42,78.38,6.12,112.61,105.91
2021,1,30,13.49,64.88,1.88,110.23,108.65
2021,1,31,15.04,63.25,3.85,109.8,110.04
2021,2,1,11.19,80,8.41,108.84,78.18
2021,2,2,11.08,65.62,4.38,117.09,116.38
2021,2,3,14.6,53.44,1.77,114.34,114.88
2021,2,4,16.49,59.19,1.29,114.95,115.16
2021,2,5,17.87,51.25,1.78,117.45,116.18
2021,2,6,17.01,64.5,2.96,115.44,113.41
2021,2,7,16.33,69.56,2.84,113.24,108.46
2021,2,8,17.44,69.44,2.61,114.68,112.66
2021,2,9,17.12,68.69,1.48,116.42,105.23
2021,2,10,15.55,74.62,1.92,114.38,96.34
2021,2,11,15.62,65.62,2.97,118.23,112.89
2021,2,12,14.12,67.44,3.11,112.14,110.62
2021,2,13,12.18,64.19,4.13,120.02,119.54
2021,2,14,12.32,55.12,3.78,121.63,121.6
2021,2,15,13.61,31.62,2.69,120.51,118.48
2021,2,16,12.23,42.31,3.46,122.77,119.7
2021,2,17,13.69,38.75,3.78,125.57,122.35
2021,2,18,15.27,28.81,2.62,122.01,122.17
2021,2,19,9.94,64.81,5.97,122.87,118.68
2021,2,20,12.47,55.94,3.2,121.07,120.12
2021,2,21,15.23,48.31,2.6,124.81,125.05
2021,2,22,16.24,55.69,3.42,120.18,116.63
2021,2,23,15.37,69.19,4.39,121.48,110.72
2021,2,24,16.17,61.75,2.78,122.76,122.93
2021,2,25,16.28,60,2.49,123.92,122.08
2021,2,26,18.18,60.38,1.73,124.6,122.38
2021,2,27,18.79,59,1.37,123.47,118.7
2021,2,28,19.69,55.81,1.41,122.75,121.81
2021,3,1,19.63,55.81,1.86,123.23,121.98
2021,3,2,15.92,68.06,4.69,116.34,99.38
2021,3,3,16.38,56.75,2.66,123.37,118.69
2021,3,4,16.76,52.12,2.65,123.28,122.13
2021,3,5,18.38,47.5,1.87,127.12,126.49
2021,3,6,16.56,67.88,4.48,123.97,116.41
2021,3,7,15.83,58.19,4.05,124.98,113.23
2021,3,8,14.15,66.5,5.21,125.9,116.49
2021,3,9,14.48,62.19,4.58,132,131.03
2021,3,10,16.36,50.94,1.86,130.48,128.74
2021,3,11,18.12,59.81,1.68,127.88,124.19
2021,3,12,18.33,57.94,2.52,127.14,127.01
2021,3,13,18.15,56.56,2.02,130.18,128.79
